iter	Passed	Remaining
0	1	638
1	2	590
2	4	638
3	6	659
4	9	727
5	11	777
6	13	762
7	15	765
8	17	750
9	19	743
10	20	719
11	21	703
12	24	715
13	25	705
14	26	690
15	28	678
16	29	672
17	31	668
18	32	657
19	33	645
20	35	643
21	37	645
22	38	636
23	40	636
24	42	642
25	44	636
26	45	628
27	47	625
28	48	622
29	49	616
30	51	611
31	52	607
32	54	610
33	56	604
34	57	601
35	58	593
36	60	588
37	61	583
38	62	579
39	64	576
40	65	573
41	66	570
42	68	569
43	70	567
44	71	564
45	72	559
46	74	556
47	75	554
48	76	550
49	78	548
50	80	549
51	81	545
52	82	541
53	83	538
54	85	536
55	86	533
56	88	529
57	89	528
58	90	525
59	92	524
60	94	522
61	96	524
62	97	522
63	99	522
64	100	519
65	102	518
66	104	519
67	105	517
68	107	514
69	108	512
70	109	509
71	111	506
72	112	503
73	113	500
74	114	497
75	116	494
76	117	493
77	118	490
78	119	487
79	121	484
80	122	482
81	123	480
82	125	477
83	126	474
84	127	472
85	128	470
86	130	467
87	131	465
88	132	463
89	133	461
90	135	460
91	136	457
92	137	454
93	139	452
94	140	451
95	142	450
96	143	448
97	144	445
98	146	443
99	147	442
100	148	440
101	150	439
102	152	438
103	153	436
104	154	434
105	156	433
106	157	432
107	159	430
108	160	428
109	161	425
110	162	424
111	164	422
112	165	420
113	166	418
114	168	416
115	169	414
116	170	412
117	171	410
118	173	409
119	174	407
120	176	406
121	177	404
122	179	403
123	180	401
124	182	400
125	183	399
126	185	398
127	186	396
128	188	396
129	189	394
130	191	392
131	192	391
132	193	389
133	195	387
134	196	385
135	197	383
136	198	381
137	200	380
138	201	378
139	202	376
140	204	375
141	205	373
142	206	371
143	207	369
144	209	367
145	210	366
146	211	364
147	212	362
148	214	361
149	215	359
150	216	357
151	218	355
152	219	353
153	220	352
154	222	350
155	223	349
156	224	347
157	225	345
158	227	344
159	228	342
160	229	340
161	230	339
162	232	337
163	233	335
164	234	334
165	235	332
166	237	330
167	238	329
168	239	327
169	240	325
170	242	324
171	243	322
172	244	320
173	245	318
174	246	317
175	247	315
176	249	314
177	250	312
178	251	310
179	253	309
180	254	307
181	255	305
182	256	304
183	258	302
184	259	301
185	260	299
186	261	297
187	262	296
188	263	294
189	265	293
190	266	291
191	267	290
192	268	288
193	270	286
194	271	285
195	272	283
196	273	282
197	275	280
198	276	279
199	277	277
200	278	275
201	279	274
202	281	272
203	282	271
204	283	269
205	284	268
206	285	266
207	287	265
208	288	263
209	289	262
210	290	260
211	292	259
212	293	257
213	294	256
214	295	254
215	296	252
216	298	251
217	299	249
218	300	248
219	303	248
220	304	246
221	305	245
222	307	243
223	308	242
224	309	241
225	311	239
226	312	238
227	313	236
228	315	235
229	316	233
230	317	232
231	318	230
232	320	229
233	321	228
234	322	226
235	323	225
236	325	223
237	326	222
238	327	220
239	329	219
240	330	217
241	331	216
242	332	214
243	333	213
244	335	211
245	336	210
246	337	208
247	338	207
248	339	206
249	340	204
250	342	203
251	343	201
252	344	200
253	345	198
254	347	197
255	348	196
256	349	194
257	351	193
258	352	191
259	353	190
260	354	188
261	356	187
262	357	186
263	358	184
264	360	183
265	361	182
266	363	180
267	364	179
268	365	178
269	366	176
270	368	175
271	369	173
272	370	172
273	372	171
274	373	169
275	374	168
276	376	166
277	377	165
278	378	164
279	380	162
280	381	161
281	382	160
282	384	158
283	385	157
284	386	156
285	387	154
286	389	153
287	390	151
288	391	150
289	393	149
290	394	147
291	395	146
292	397	145
293	398	143
294	399	142
295	400	140
296	402	139
297	403	138
298	404	136
299	406	135
300	407	133
301	408	132
302	409	131
303	411	129
304	412	128
305	414	127
306	415	125
307	416	124
308	417	123
309	419	121
310	420	120
311	422	119
312	423	117
313	424	116
314	426	114
315	427	113
316	428	112
317	429	110
318	431	109
319	432	108
320	434	106
321	435	105
322	436	104
323	438	102
324	441	101
325	442	100
326	443	99
327	445	97
328	446	96
329	447	94
330	449	93
331	450	92
332	451	90
333	453	89
334	455	88
335	456	86
336	458	85
337	459	84
338	460	82
339	462	81
340	463	80
341	465	78
342	466	77
343	467	76
344	468	74
345	470	73
346	471	72
347	473	70
348	474	69
349	476	68
350	477	66
351	478	65
352	479	63
353	481	62
354	482	61
355	483	59
356	484	58
357	486	57
358	487	55
359	490	54
360	492	53
361	493	51
362	497	50
363	498	49
364	500	47
365	501	46
366	503	45
367	504	43
368	506	42
369	508	41
370	509	39
371	511	38
372	512	37
373	513	35
374	515	34
375	516	32
376	518	31
377	519	30
378	521	28
379	522	27
380	523	26
381	525	24
382	526	23
383	527	21
384	529	20
385	530	19
386	531	17
387	533	16
388	534	15
389	536	13
390	539	12
391	540	11
392	542	9
393	543	8
394	545	6
395	546	5
396	547	4
397	549	2
398	550	1
399	552	0
